FedEx Name,Name,FedEx ID,Rate by Day,Rate by Week
SMITH JOHN A,John Smith,7234561,$160,
JOHNSON E MARIE,Emily Johnson,6543210,$155,
BROWN MICHAEL THOMAS,Michael Brown,8901234,$165,
DAVIS S ELIZABETH,Sarah Davis,5678901,$170,
WILSON DAVID JAMES,David Wilson,9012345,,$1150
LEE JENNIFER ROSE,Jennifer Lee,4321098,$175,
TAYLOR ROBERT J,Robert Taylor,7890123,,$1250
MARTINEZ A LUCIA,Amanda Martinez,6789012,$180,
ANDERSON C SCOTT,Christopher Anderson,5432109,$165,
THOMPSON J LYNN,Jessica Thompson,8901234,$160,
